Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,,5.163870439,5.040285299,4.850469303,4.634034058,4.427078366,4.249318692,4.109106939,4.012345784,3.893529989,3.698440261,3.522624807,3.47160495,3.457821495,3.45884893,3.221323158,3.239188741,3.294621169,3.340278386,2.557899659,1.541557518,1.355209251,1.385214154,1.43912143,1.3501413,1.185146635,1.099742965,1.028342437,0.763893444,2.363803015,2.695764679,1.30038689,-1.603742387,-3.741397338,-2.861061195,-1.936587501,-1.140086823,-1.258456871,-1.373374112,-1.499634505,-1.610374905,-1.558676244,-1.132465702,-0.830795278,-0.751432255,-0.761535436,-0.838572638,-0.889415093,-0.855937609,-0.800339953,-0.766716914,-0.747249768,-0.656142903,-0.568544597,-0.477941161,-0.43578728,-0.449033645,-0.453337251,-0.467403785,-0.453278,-0.384383434,-0.336768059,-0.153477829,0.170817597
American Samoa,ASM,Urban population growth (annual %),SP.URB.GROW,,3.306147364,3.727405652,3.762350146,3.795031748,3.806522483,3.685015323,3.565672376,3.605795881,3.610301435,3.112594056,2.462093424,2.252860612,2.198325976,2.222905641,2.450685614,2.624507808,2.548509801,2.480842518,2.450358855,3.209187193,4.460471808,4.696452093,4.696109282,4.706546387,4.692923749,4.680735354,4.657626794,4.650659208,4.621757173,4.10286915,3.577881438,3.287987568,3.204337377,3.143329433,3.040940545,2.927734995,2.802988413,2.625617652,2.491476974,1.614230592,0.052328118,-0.361039252,-0.516645883,-0.65696172,-0.758402308,-0.844138879,-0.915871352,-0.991562675,-1.061202674,-1.055932294,-1.092449598,-1.238648471,-1.388032196,-1.547887091,-1.697112343,-1.851362534,-2.004498446,-2.142604233,-2.310689801,-2.41501908,-2.510444748,-1.677387423,-0.769714639
Antigua and Barbuda,ATG,Urban population growth (annual %),SP.URB.GROW,,0.054664724,-0.237096591,-0.255965036,-0.096156055,0.032062293,-0.032062293,-0.022907933,-0.004582216,0.022908983,-0.041239948,0.621375417,0.122903263,-0.127458138,-0.145865647,-0.050190497,0.16416621,0.431926835,0.560985908,0.669951473,0.66104131,0.519504754,0.472751449,0.501232143,0.1577633,-0.249906963,-0.285745881,-0.326307724,-0.345102546,-0.315170608,-0.2537451,0.591073427,0.521502044,0.72031232,0.780317393,0.864720681,0.925575447,0.908633969,0.778902113,0.5854328,0.536417279,0.322954901,-0.767686406,-0.924866922,-0.975947246,-0.929842485,-0.839129652,-0.759107469,-0.659664697,-0.637574986,-0.81940443,-0.862055052,0.393983318,0.240996234,0.13808773,0.08898777,0.075577393,0.071079523,0.093215267,0.155165948,0.296362044,0.379122302,0.443420768,0.511219517
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,,2.493807993,2.790282524,2.261393407,2.302334838,2.292525804,2.610086223,1.462465186,1.961546446,2.288842506,2.164424882,3.571776532,2.02807808,1.716023039,2.718077645,1.415341105,1.185292023,1.306618867,1.341338024,1.257605457,1.393262294,1.734639035,1.698727446,1.334645321,1.165506158,1.29821886,1.411444637,1.486062527,1.602236149,1.657780312,1.444941615,1.239497244,0.981336449,0.739338148,0.811493536,0.960730427,1.059429602,0.927383277,0.83946685,0.93645823,0.984333804,1.123578712,1.282497609,1.293754881,1.211374539,1.35808044,1.488863154,1.968934751,2.14645819,2.202006395,1.695502161,1.527957416,1.865330137,1.838175799,1.608455102,1.554800599,1.677390128,1.767968476,1.621636321,1.607624676,1.369184749,0.2811033,1.418485976,2.519945525
Austria,AUT,Urban population growth (annual %),SP.URB.GROW,,0.693616919,0.688471401,0.719407568,0.742017957,0.725129202,0.778261603,0.82271009,0.594482374,0.420510194,0.42587062,0.512120902,0.596495457,0.569350304,0.185526977,-0.250023853,-0.161373853,0.053705672,-0.065680146,-0.155150463,0.015396241,0.213722207,-0.333003715,-0.567951938,-0.41740401,-0.364294045,-0.354093544,-0.356097125,-0.281167821,0.025989652,0.332494358,0.567072342,0.665705624,0.386303389,-0.057029695,-0.290743622,-0.314066228,-0.336146843,-0.345078398,-0.262302086,-0.220175992,-0.081625277,0.025369868,0.016674641,0.14603312,0.204609525,0.01586968,-0.160527934,-0.173990969,-0.227452142,-0.253173146,-0.158921842,0.511947896,0.919560199,1.112385233,1.44900148,1.4100618,1.020478626,0.835905515,0.817910607,0.812573161,0.855226835,1.397726478,1.457622084
Azerbaijan,AZE,Urban population growth (annual %),SP.URB.GROW,,3.24078518,2.405969869,2.386252337,2.755942005,2.419824073,2.288389559,2.00498448,1.785377441,1.694744334,2.215086963,3.025293352,2.930622273,2.770069756,2.44195639,2.067253543,1.986076285,2.011853785,2.065396795,1.889651235,1.689946037,1.793391009,1.81072866,1.823484058,1.959455307,1.91826643,1.861587426,1.907775669,1.801792721,1.382742253,0.812999167,0.755758911,0.931758773,0.934423069,0.761794041,0.565535951,0.416211303,0.369412688,0.346417135,0.696083254,1.213443781,1.165156383,1.13311843,1.145024135,1.261300756,1.404755514,1.479626007,1.515330138,2.478011081,2.452869587,1.595056682,1.734594585,1.786347912,1.778515184,1.758498053,1.726309145,1.677401514,1.56477338,1.473400152,1.47506479,1.335443211,1.110980253,0.731066864,0.421047891
Burundi,BDI,Urban population growth (annual %),SP.URB.GROW,,4.307513819,4.332398299,3.875989719,4.652423395,5.455820032,6.692540185,6.839559496,6.65550774,6.436285365,6.393241891,6.67951001,4.236572795,4.044459542,6.714874201,6.69708554,6.403710913,6.747290926,7.070169688,6.626856327,7.933134946,7.752138562,6.18032018,6.360251537,6.123105651,5.827796614,5.560991969,5.955121419,5.8558459,5.568143602,5.665683878,4.896337782,5.396053763,-0.56195738,3.320735185,8.785555984,2.710851717,2.629328804,4.609154639,4.96838682,4.621537631,5.048884501,5.372687858,5.707083167,6.27479147,6.249386007,6.128583213,6.207720606,6.654543906,7.596415415,7.210724872,6.075706778,6.053998154,6.091330472,5.874201054,4.720912812,4.16327338,4.821943468,5.517135369,5.794906079,5.393632938,5.193691055,5.181768293,5.185255012
Belgium,BEL,Urban population growth (annual %),SP.URB.GROW,,0.433816324,0.533017017,0.915794256,1.111153421,1.068246528,0.833160443,0.710896228,0.544200931,0.430541276,0.243645668,0.3238742,0.529821731,0.44952061,0.447194464,0.418186875,0.305611529,0.340996897,0.302981544,0.290728636,0.304359707,0.158681433,0.079543434,0.096555707,0.100814218,0.128864886,0.132542984,0.181015499,0.410486859,0.454674686,0.386473447,0.458708968,0.489648012,0.473469732,0.38889489,0.289038165,0.271829214,0.317332906,0.287787746,0.300301132,0.308431312,0.402615693,0.504840006,0.475187017,0.488278481,0.604479238,0.711907501,0.786651496,0.841239516,0.853791423,0.962809677,1.349117439,0.667241433,0.517369105,0.488911944,0.623385919,0.550223217,0.428116624,0.496003003,0.581271661,0.469743865,0.450342913,0.892816003,1.200337033
Benin,BEN,Urban population growth (annual %),SP.URB.GROW,,7.613767112,7.679590979,7.717067641,7.747813439,7.75907284,7.775013226,7.765773403,7.759986632,7.737957744,7.719228083,7.694739003,7.696008974,7.655737026,7.632826576,7.610176317,7.612533675,7.585002125,7.571873762,6.895858015,5.139367573,5.193263866,5.227720106,5.231483584,5.232994928,5.236096216,5.25349876,5.260978819,5.26676962,5.251779789,5.254337153,5.247772931,4.696913911,5.309629917,4.592877347,2.906896395,3.416917813,3.753174036,3.87653285,3.892012463,3.871487515,3.836005417,3.995134475,4.286991143,4.290690659,4.428280907,4.300155416,4.107927356,4.16982557,4.150706927,4.132534278,4.116116322,4.093598597,4.064773852,4.093172285,4.115683615,4.111680257,4.105513178,4.078861381,4.040767534,3.980015606,3.903600912,3.84311254,3.796252973
Burkina Faso,BFA,Urban population growth (annual %),SP.URB.GROW,,3.466159839,3.468380029,3.518118767,3.559520393,3.600287844,3.632102026,3.676899062,3.696613087,3.720746331,3.727846106,3.680283829,3.7035728,3.736258462,3.831878085,3.968292664,7.050555997,9.307708118,9.461670283,9.510757193,9.574765918,9.550703521,9.5388007,9.572536092,9.582023912,9.514761667,6.783364014,4.583215281,4.524847736,4.475091656,4.460862303,4.35613271,4.293644118,4.303733592,4.333739073,4.370462727,4.362779215,5.559057858,6.670962952,6.821605814,6.857564848,6.867020476,6.874385754,6.865102857,6.873132332,6.837877696,6.7786523,5.931429341,5.256141677,5.220812479,5.213942985,5.229574839,5.272806597,5.230613935,5.187071442,5.161046779,5.105060382,5.007199057,4.885763881,4.800404381,4.7586163,4.697431091,4.578534343,4.513116801
Bangladesh,BGD,Urban population growth (annual %),SP.URB.GROW,,5.653382832,7.08149941,7.088562032,7.059328552,7.052338569,7.01166273,7.037097676,7.017110154,6.895236939,6.501174522,5.203998544,5.37963305,6.518898566,7.973992577,10.87943763,10.65252362,10.60026956,10.60549377,10.49506398,10.49801359,8.817186284,5.315997395,5.324820826,5.243655883,5.083024132,4.893082458,4.731451937,4.655395133,4.591186309,4.583963889,4.162852569,3.568129894,3.623392223,3.629664976,3.563582316,3.449107981,3.468605378,3.555515451,3.583953433,3.563966632,4.021548526,4.560228226,4.428774162,4.319324359,4.144582157,3.81722387,3.634036977,3.443691072,3.405919776,3.644549781,3.692842583,3.673378508,3.64237554,3.577997448,3.469949019,3.464608062,3.434725872,3.296925086,3.201394572,3.187094227,3.143603061,3.020051347,2.928151705
Bulgaria,BGR,Urban population growth (annual %),SP.URB.GROW,,5.392071899,5.195008239,5.00810535,4.892414567,4.672598595,3.833873961,3.274799138,3.294854828,3.280489316,3.105160057,2.556495951,2.430411551,2.435348074,2.539611719,2.311323051,2.094007732,2.048534073,1.611572626,1.59954306,1.836232009,1.13999467,1.092907053,1.037203503,1.010783391,0.76159886,0.604721481,0.679531993,0.640477407,-0.649279615,-1.287166619,-0.479518197,-0.567024807,-0.389884232,-0.002997727,-0.112909661,-0.184328579,-0.279961453,-0.341007759,-0.235410718,-0.171157651,-1.603863629,-1.654432119,-0.282796715,-0.249495596,-0.254448057,-0.267690119,-0.248678762,-0.220466621,-0.169290725,-0.188314948,-0.177597399,-0.116335429,-0.097544085,-0.108408405,-0.178845947,-0.244263619,-0.274061375,-0.269102082,-0.252969936,-0.151331327,-0.367953365,-5.743646005,-0.096949071
